x,y,distance,angle
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
467.0,772.0,2.52,-25.408986175115206
466.5,767.0,2.52,-25.440668202764975
466.0,767.5,2.52,-25.47235023041475
466.0,769.5,2.5,-25.47235023041475
466.0,765.5,2.5,-25.47235023041475
466.0,762.0,2.53,-25.47235023041475
466.0,765.0,2.52,-25.47235023041475
466.0,769.0,2.52,-25.47235023041475
466.0,770.0,2.52,-25.47235023041475
466.0,770.0,2.52,-25.47235023041475
466.5,770.0,2.52,-25.440668202764975
466.5,769.0,2.53,-25.440668202764975
466.0,772.0,2.53,-25.47235023041475
466.5,773.0,2.53,-25.440668202764975
467.0,765.0,2.49,-25.408986175115206
918.0,256.0,2.99,3.1682027649769537
700.5,517.5,9.89,-10.613479262672811
920.5,677.5,4.79,3.326612903225808
566.5,352.0,2.41,-19.10426267281106
737.0,321.0,3.76,-8.300691244239637
1146.0,210.0,4.28,17.615207373271886
1174.0,199.0,4.02,19.38940092165899
1131.5,302.0,2.51,16.69642857142857
